Country,Age Range,Confirmed,Deaths,Death Rate
Spain,0-9,1931,4,0.21
,10-19 Yrs,3613,10,0.28
,20-29,28818,48,0.17
,30-39,47720,126,0.26
,40-49,73179,434,0.59
,50-59,88617,1313,1.48
,60-69,71026,3644,5.13
,70-79,67321,9773,14.52
,80-89,79461,16909,21.28
,90 y +,39550,8827,22.32
,Total,501236,41088,8.2
,,,,
England, 0-9,1167,3,0.26
, 10-19,1459,102,6.99
, 20-29,12297,131,1.07
, 30-39,15725,168,1.07
, 40-49,18215,1383,7.59
, 50-59,22400,829,3.7
, 60- 69,17195,1919,11.16
, 70-79,21846,5303,24.27
, 80-89,29795,15027,50.43
,90+,13367,4383,32.79
,Total,153466,29248,19.06
,,,,
Italy,0-9,693,0,0
, 10-19,931,0,0
,20-29,4530,6,0.13
,30-39,7466,29,0.39
,40-49,13701,110,0.8
,50-59,20975,479,2.28
,60-69,18089,1448,8
,70-79,19238,4196,21.81
,80-89,16252,5029,30.94
,>90,4524,1253,27.7
,Total,106399,12550,11.8
,,,,
Czechia,0-9,604,0,0
, 10-19,922,0,0
,20-29,1396,1,0.07
,30-39,1604,5,0.31
,40-49,1885,4,0.21
,50-59,1245,18,1.45
,60-69,900,80,8.88
,70-79,564,114,20.24
,80-89,462,107,23.14
,Total,9582,329,3.43
,,,,
New Zealand,0-9,36,0,0
, 10-19,121,0,0
,20-29,358,0,0
,30-39,229,0,0
,40-49,220,0,0
,50-59,246,,0
,60-69,178,3,1.69
,70-79,77,7,9.09
,80-89,30,7,23.33
,>90,9,5,55.56
,Total,1504,22,1.46
,,,,
Australia,0-9,99,0,0
, 10-19,233,0,0
,20-29,1494,0,0
,30-39,1138,0,0
,40-49,913,1,0.11
,50-59,1129,2,0.18
,60-69,1163,13,1.12
,70-79,755,31,4.11
,80-90,195,35,17.95
,90-100,51,20,39.22
,Total,7170,102,1.42
,,,,
Phillipines,0-9,689,14,2.03
, 10-19,2438,11,0.45
,20-29,2853,18,0.63
,30-39,5411,38,0.7
,40-49,4182,91,2.18
,50-59,3501,175,5
,60-69,2458,311,12.65
,70-79,1229,240,19.53
,80-90,434,80,18.43
,90-100,128,49,38.28
,Total,23323,1027,4.4
,,,,
South Korea,0-9,168,0,0
, 10-19,682,0,0
,20-29,3258,0,0
,30-39,1345,2,0.15
,40-49,1589,3,0.19
,50-59,2144,15,0.7
,60-69,1511,39,2.58
,70-79,460,70,15.22
,80-90,519,98,18.88
,90-100,327,50,15.29
,Total,12003,277,2.31
,,,,
Indonesia,0-9,837,0,0
, 10-19,2038,0,0
,20-29,7572,12,0.16
,30-39,3592,143,3.98
,40-49,6106,122,2
,50-59,9866,817,8.28
,60-69,1674,77,4.6
,70-79,1285,171,13.31
,80-90,2355,325,13.8
,90-100,1053,376,35.71
,Total,36378,2043,5.62
,,,,
Germany,0-9,4327,1,0.02
, 10-19,13999,2,0.01
,20-29,23402,9,0.04
,30-39,21974,21,0.1
,40-49,40546,68,0.17
,50-59,15947,303,1.9
,60-69,26421,825,3.12
,70-79,9939,1958,19.7
,80-90,18857,3898,20.67
,90-100,5287,1639,31
,Total,180699,8724,4.83
