S No,Date,Total Cases,Recovered,Deaths,Active Cases,Death Rate,RecoveryRate
1,30-01-2020,1,0,0,1,0,0
2,31-01-2020,1,0,0,1,0,0
3,01-02-2020,2,0,0,2,0,0
4,02-02-2020,3,0,0,3,0,0
5,03-02-2020,3,0,0,3,0,0
6,04-02-2020,3,0,0,3,0,0
7,05-02-2020,3,0,0,3,0,0
8,06-02-2020,3,0,0,3,0,0
9,07-02-2020,3,0,0,3,0,0
10,08-02-2020,3,0,0,3,0,0
11,09-02-2020,3,0,0,3,0,0
12,10-02-2020,3,0,0,3,0,0
13,11-02-2020,3,0,0,3,0,0
14,12-02-2020,3,0,0,3,0,0
15,13-02-2020,3,0,0,3,0,0
16,14-02-2020,3,0,0,3,0,0
17,15-02-2020,3,0,0,3,0,0
18,16-02-2020,3,0,0,3,0,0
19,17-02-2020,3,0,0,3,0,0
20,18-02-2020,3,0,0,3,0,0
21,19-02-2020,3,0,0,3,0,0
22,20-02-2020,3,0,0,3,0,0
23,21-02-2020,3,0,0,3,0,0
24,22-02-2020,3,0,0,3,0,0
25,23-02-2020,3,0,0,3,0,0
26,24-02-2020,3,0,0,3,0,0
27,25-02-2020,3,0,0,3,0,0
28,26-02-2020,3,0,0,3,0,0
29,27-02-2020,3,0,0,3,0,0
30,28-02-2020,3,0,0,3,0,0
31,29-02-2020,3,0,0,3,0,0
32,01-03-2020,3,0,0,3,0,0
33,02-03-2020,5,0,0,5,0,0
34,03-03-2020,6,3,0,3,0,50
35,04-03-2020,28,3,0,25,0,10.71428571
36,05-03-2020,30,3,0,27,0,10
37,06-03-2020,31,3,0,28,0,9.677419355
38,07-03-2020,34,3,0,31,0,8.823529412
39,08-03-2020,39,3,0,36,0,7.692307692
40,09-03-2020,46,3,0,43,0,6.52173913
41,10-03-2020,58,3,0,55,0,5.172413793
42,11-03-2020,60,3,0,57,0,5
43,12-03-2020,74,3,0,71,0,4.054054054
44,13-03-2020,81,3,1,77,1.234567901,3.703703704
45,14-03-2020,84,10,2,72,2.380952381,11.9047619
46,15-03-2020,110,13,2,95,1.818181818,11.81818182
47,16-03-2020,114,13,2,99,1.754385965,11.40350877
48,17-03-2020,137,14,3,120,2.189781022,10.2189781
49,18-03-2020,151,14,3,134,1.986754967,9.271523179
50,19-03-2020,173,20,4,149,2.312138728,11.56069364
51,20-03-2020,223,23,4,196,1.793721973,10.31390135
52,21-03-2020,283,23,4,256,1.413427562,8.127208481
53,22-03-2020,360,24,7,329,1.944444444,6.666666667
54,23-03-2020,433,24,7,402,1.616628176,5.542725173
55,24-03-2020,519,40,9,470,1.734104046,7.707129094
56,25-03-2020,606,43,10,553,1.650165017,7.095709571
57,26-03-2020,694,45,15,634,2.161383285,6.484149856
58,27-03-2020,724,67,17,640,2.348066298,9.254143646
59,28-03-2020,909,80,19,810,2.090209021,8.800880088
60,29-03-2020,1024,96,27,901,2.63671875,9.375
61,30-03-2020,1251,102,31,1118,2.478017586,8.153477218
62,31-03-2020,1397,124,35,1238,2.505368647,8.876163207
63,01-04-2020,1834,144,41,1649,2.235550709,7.851690294
64,02-04-2020,2069,156,53,1860,2.561623973,7.539874335
65,03-04-2020,2547,163,62,2322,2.434236356,6.399685905
66,04-04-2020,3072,213,75,2784,2.44140625,6.93359375
67,05-04-2020,3577,275,83,3219,2.320380207,7.68800671
68,06-04-2020,4281,319,111,3851,2.592852137,7.451530016
69,07-04-2020,4789,353,124,4312,2.58926707,7.371058676
70,08-04-2020,5274,411,149,4714,2.825180129,7.79294653
71,09-04-2020,5865,478,169,5218,2.881500426,8.150042626
72,10-04-2020,6761,516,206,6039,3.046886555,7.6320071
73,11-04-2020,7529,653,242,6634,3.214238279,8.673130562
74,12-04-2020,8447,765,273,7409,3.231916657,9.056469753
75,13-04-2020,9352,980,324,8048,3.464499572,10.47904192
76,14-04-2020,10815,1190,353,9272,3.263985206,11.00323625
77,15-04-2020,11933,1344,392,10197,3.285007961,11.26288444
78,16-04-2020,12759,1515,420,10824,3.291794028,11.87397131
79,17-04-2020,13835,1767,452,11616,3.267076256,12.77195519
80,18-04-2020,14792,2015,488,12289,3.299080584,13.62222823
81,19-04-2020,16116,2302,519,13295,3.220402085,14.28394142
82,20-04-2020,17656,2842,559,14255,3.166062528,16.0965111
83,21-04-2020,18985,3260,603,15122,3.17619173,17.17145115
84,22-04-2020,20471,3960,652,15859,3.184993405,19.34443847
85,23-04-2020,21700,4325,686,16689,3.161290323,19.93087558
86,24-04-2020,23452,4814,723,17915,3.082892717,20.52703394
87,25-04-2020,24893,5210,779,18904,3.129393805,20.9295786
88,26-04-2020,26605,5914,826,19865,3.104679572,22.22890434
89,27-04-2020,28160,6362,886,20912,3.146306818,22.59232955
90,28-04-2020,29834,7027,937,21870,3.140711939,23.55366361
91,29-04-2020,31709,7797,1008,22904,3.178908196,24.58923334
92,30-04-2020,33330,8373,1075,23882,3.225322532,25.12151215
93,01-05-2020,34972,9065,1152,24755,3.294063822,25.92073659
94,02-05-2020,37157,9951,1218,25988,3.277982614,26.78095648
95,03-05-2020,40124,10887,1306,27931,3.25490978,27.1333865
96,04-05-2020,42836,11762,1389,29685,3.242599683,27.45821272
97,05-05-2020,46711,13161,1583,31967,3.38892338,28.17537625
98,06-05-2020,49391,14183,1694,33514,3.429774655,28.71575793
99,07-05-2020,52952,15267,1783,35902,3.367200483,28.83177217
100,08-05-2020,56342,16540,1886,37916,3.347414007,29.35643037
101,09-05-2020,59662,17847,1981,39834,3.320371426,29.91351279
102,10-05-2020,62939,19358,2109,41472,3.350863535,30.75676449
103,11-05-2020,67152,20917,2206,44029,3.285084584,31.14873719
104,12-05-2020,70756,22455,2293,46008,3.240714568,31.73582452
105,13-05-2020,74281,24386,2415,47480,3.251167863,32.8293911
106,14-05-2020,78003,26235,2549,49219,3.267823032,33.6333218
107,15-05-2020,81970,27920,2649,51401,3.231670123,34.06124192
108,16-05-2020,85710,30153,2752,52805,3.210827208,35.18025901
109,17-05-2020,90637,34109,2872,53656,3.168683871,37.63253417
110,18-05-2020,95759,36824,3029,55906,3.163149156,38.45487108
111,19-05-2020,100325,39174,3163,57988,3.152753551,39.04709693
112,20-05-2020,106750,42298,3303,61149,3.094145199,39.6234192
113,21-05-2020,112359,45300,3435,63624,3.05716498,40.31719755
114,22-05-2020,118447,48534,3583,66330,3.024981637,40.97528853
115,23-05-2020,125101,51784,3720,69597,2.973597333,41.39375385
116,24-05-2020,131868,54441,3867,73560,2.932477932,41.28446628
117,25-05-2020,138845,57721,4021,77103,2.896035147,41.57225683
118,26-05-2020,145380,60491,4167,80722,2.866281469,41.60888705
119,27-05-2020,151767,64426,4337,83004,2.857669981,42.45059861
120,28-05-2020,158333,67692,4531,86110,2.861690235,42.75293211
121,29-05-2020,165386,70920,4711,89755,2.84848778,42.88150146
