S No,Date,Total Cases,Recovered,Deaths,Active Cases
1,30-01-2020,1,0,0,1
2,31-01-2020,1,0,0,1
3,01-02-2020,2,0,0,2
4,02-02-2020,3,0,0,3
5,03-02-2020,3,0,0,3
6,04-02-2020,3,0,0,3
7,05-02-2020,3,0,0,3
8,06-02-2020,3,0,0,3
9,07-02-2020,3,0,0,3
10,08-02-2020,3,0,0,3
11,09-02-2020,3,0,0,3
12,10-02-2020,3,0,0,3
13,11-02-2020,3,0,0,3
14,12-02-2020,3,0,0,3
15,13-02-2020,3,0,0,3
16,14-02-2020,3,0,0,3
17,15-02-2020,3,0,0,3
18,16-02-2020,3,0,0,3
19,17-02-2020,3,0,0,3
20,18-02-2020,3,0,0,3
21,19-02-2020,3,0,0,3
22,20-02-2020,3,0,0,3
23,21-02-2020,3,0,0,3
24,22-02-2020,3,0,0,3
25,23-02-2020,3,0,0,3
26,24-02-2020,3,0,0,3
27,25-02-2020,3,0,0,3
28,26-02-2020,3,0,0,3
29,27-02-2020,3,0,0,3
30,28-02-2020,3,0,0,3
31,29-02-2020,3,0,0,3
32,01-03-2020,3,0,0,3
33,02-03-2020,5,0,0,5
34,03-03-2020,6,3,0,3
35,04-03-2020,28,3,0,25
36,05-03-2020,30,3,0,27
37,06-03-2020,31,3,0,28
38,07-03-2020,34,3,0,31
39,08-03-2020,39,3,0,36
40,09-03-2020,46,3,0,43
41,10-03-2020,58,3,0,55
42,11-03-2020,60,3,0,57
43,12-03-2020,74,3,0,71
44,13-03-2020,81,3,1,77
45,14-03-2020,84,10,2,72
46,15-03-2020,110,13,2,95
47,16-03-2020,114,13,2,99
48,17-03-2020,137,14,3,120
49,18-03-2020,151,14,3,134
50,19-03-2020,173,20,4,149
51,20-03-2020,223,23,4,196
52,21-03-2020,283,23,4,256
53,22-03-2020,360,24,7,329
54,23-03-2020,433,24,7,402
55,24-03-2020,519,40,9,470
56,25-03-2020,606,43,10,553
57,26-03-2020,694,45,15,634
58,27-03-2020,724,67,17,640
59,28-03-2020,909,80,19,810
60,29-03-2020,1024,96,27,901
61,30-03-2020,1251,102,31,1118
62,31-03-2020,1397,124,35,1238
63,01-04-2020,1834,144,41,1649
64,02-04-2020,2069,156,53,1860
65,03-04-2020,2547,163,62,2322
66,04-04-2020,3072,213,75,2784
67,05-04-2020,3577,275,83,3219
68,06-04-2020,4281,319,111,3851
69,07-04-2020,4789,353,124,4312
70,08-04-2020,5274,411,149,4714
71,09-04-2020,5865,478,169,5218
72,10-04-2020,6761,516,206,6039
73,11-04-2020,7529,653,242,6634
74,12-04-2020,8447,765,273,7409
75,13-04-2020,9352,980,324,8048
76,14-04-2020,10815,1190,353,9272
77,15-04-2020,11933,1344,392,10197
78,16-04-2020,12759,1515,420,10824
79,17-04-2020,13835,1767,452,11616
80,18-04-2020,14792,2015,488,12289
81,19-04-2020,16116,2302,519,13295
82,20-04-2020,17656,2842,559,14255
83,21-04-2020,18985,3260,603,15122
84,22-04-2020,20471,3960,652,15859
85,23-04-2020,21700,4325,686,16689
86,24-04-2020,23452,4814,723,17915
87,25-04-2020,24893,5210,779,18904
88,26-04-2020,26605,5914,826,19865
89,27-04-2020,28160,6362,886,20912
90,28-04-2020,29834,7027,937,21870
91,29-04-2020,31709,7797,1008,22904
92,30-04-2020,33330,8373,1075,23882
93,01-05-2020,34972,9065,1152,24755
94,02-05-2020,37157,9951,1218,25988
95,03-05-2020,40124,10887,1306,27931
96,04-05-2020,42836,11762,1389,29685
97,05-05-2020,46711,13161,1583,31967
98,06-05-2020,49391,14183,1694,33514
99,07-05-2020,52952,15267,1783,35902
100,08-05-2020,56342,16540,1886,37916
101,09-05-2020,59662,17847,1981,39834
102,10-05-2020,62939,19358,2109,41472
103,11-05-2020,67152,20917,2206,44029
104,12-05-2020,70756,22455,2293,46008
105,13-05-2020,74281,24386,2415,47480
106,14-05-2020,78003,26235,2549,49219
107,15-05-2020,81970,27920,2649,51401
108,16-05-2020,85710,30153,2752,52805
109,17-05-2020,90637,34109,2872,53656
110,18-05-2020,95759,36824,3029,55906
111,19-05-2020,100325,39174,3163,57988
112,20-05-2020,106750,42298,3303,61149
113,21-05-2020,112359,45300,3435,63624
114,22-05-2020,118447,48534,3583,66330
115,23-05-2020,125101,51784,3720,69597
116,24-05-2020,131868,54441,3867,73560
117,25-05-2020,138845,57721,4021,77103
118,26-05-2020,145380,60491,4167,80722
119,27-05-2020,151767,64426,4337,83004
120,28-05-2020,158333,67692,4531,86110
121,29-05-2020,165386,70920,4711,89755
122,30-05-2020,173763,82908,4971,85884
123,31-05-2020,182143,87273,5164,89706
124,01-06-2020,190535,91792,5394,93349
125,02-06-2020,198706,183400,5598,9708
126,03-06-2020,207615,100723,5815,101077
127,04-06-2020,216919,104179,6075,106665
128,05-06-2020,226770,108522,6348,111900
129,06-06-2020,236657,113713,6642,116302
130,07-06-2020,246628,118718,6929,120981
131,08-06-2020,256611,122980,7200,126431
132,09-06-2020,266598,129767,7471,129360
133,10-06-2020,276583,135942,7745,132896
134,11-06-2020,286579,140408,8102,138069
135,12-06-2020,297535,146227,8498,142810
136,13-06-2020,308993,153627,8884,146482
137,14-06-2020,320922,161626,9195,150101
