date,confirmedf,death,days
01-05-2020,7737,250,1
02-05-2020,7755,251,2
03-05-2020,7781,254,3
04-05-2020,7819,259,4
05-05-2020,7896,261,5
06-05-2020,7974,265,6
07-05-2020,8031,269,7
08-05-2020,8077,273,8
09-05-2020,8095,277,9
10-05-2020,8123,280,10
11-05-2020,8176,282,11
12-05-2020,8221,285,12
13-05-2020,8269,289,13
14-05-2020,8351,292,14
15-05-2020,8406,294,15
16-05-2020,8455,295,16
17-05-2020,8475,297,17
18-05-2020,8586,300,18
19-05-2020,8647,302,19
20-05-2020,8721,307,20
21-05-2020,8754,310,21
22-05-2020,8813,312,22
23-05-2020,8890,313,23
24-05-2020,8955,315,24
25-05-2020,9002,316,25
26-05-2020,9050,316,26
27-05-2020,9086,316,27
28-05-2020,9140,317,28
29-05-2020,9196,317,29
30-05-2020,9230,317,30
31-05-2020,9268,317,31
01-06-2020,9302,319,32
02-06-2020,9364,320,33
03-06-2020,9438,321,34
04-06-2020,9494,324,35
05-06-2020,9529,324,36
06-06-2020,9567,324,37
07-06-2020,9628,325,38
08-06-2020,9697,325,39
09-06-2020,9751,326,40
10-06-2020,9824,327,41
11-06-2020,9886,328,42
12-06-2020,9938,328,43
