Date,Cases,Deaths,days
01-05-2020,160758,6481,1
02-05-2020,161703,6575,2
03-05-2020,162496,6649,3
04-05-2020,163175,6692,4
05-05-2020,163860,6831,5
06-05-2020,164807,6996,6
07-05-2020,166091,7119,7
08-05-2020,167300,7266,8
09-05-2020,168551,7369,9
10-05-2020,169218,7395,10
11-05-2020,169575,7417,11
12-05-2020,170508,7533,12
13-05-2020,171306,7634,13
14-05-2020,172239,7723,14
15-05-2020,173152,7824,15
16-05-2020,173772,7881,16
17-05-2020,174355,7914,17
18-05-2020,174697,7935,18
19-05-2020,175210,8007,19
20-05-2020,176007,8090,20
21-05-2020,176752,8147,21
22-05-2020,177212,8174,22
23-05-2020,177850,8216,23
24-05-2020,178281,8247,24
25-05-2020,178570,8257,25
26-05-2020,179002,8302,26
27-05-2020,179364,8349,27
28-05-2020,179717,8411,28
29-05-2020,180458,8450,29
30-05-2020,181196,8489,30
31-05-2020,181482,8500,31
01-06-2020,181815,8511,32
02-06-2020,182028,8522,33
03-06-2020,182370,8551,34
04-06-2020,182764,8581,35
05-06-2020,183271,8613,36
06-06-2020,183678,8646,37
07-06-2020,183979,8668,38
08-06-2020,184193,8674,39
09-06-2020,184543,8711,40
10-06-2020,184861,8729,41
11-06-2020,185416,8755,42
12-06-2020,185674,8763,43
13-06-2020,186022,8781,44
14-06-2020,186269,8787,45
