Date ,Cases,Deaths,days
01-May-20,8772,579,1
02-May-20,8928,603,2
03-May-20,9223,607,3
04-May-20,9485,623,4
05-May-20,9684,637,5
06-May-20,10004,658,6
07-May-20,10343,685,7
08-May-20,10463,696,8
09-May-20,10610,704,9
10-May-20,10794,719,10
11-May-20,11086,726,11
12-May-20,11350,751,12
13-May-20,11618,772,13
14-May-20,11876,790,14
15-May-20,12091,806,15
16-May-20,12305,817,16
17-May-20,12513,824,17
18-May-20,12718,831,18
19-May-20,12942,837,19
20-May-20,13221,842,20
21-May-20,13434,846,21
22-May-20,13597,857,22
23-May-20,13777,863,23
24-May-20,14035,868,24
25-May-20,14319,873,25
26-May-20,14669,886,26
27-May-20,15049,904,27
28-May-20,15588,921,28
29-May-20,16634,942,29
30-May-20,17224,950,30
31-May-20,18086,957,31
01-Jun-20,18638,960,32
02-Jun-20,18997,966,33
03-Jun-20,19748,974,34
04-Jun-20,20382,984,35
05-Jun-20,20626,987,36
06-Jun-20,21340,994,37
07-Jun-20,21895,1003,38
08-Jun-20,22474,1011,39
09-Jun-20,22992,1017,40
10-Jun-20,23732,1027,41
11-Jun-20,24175,1036,42
12-Jun-20,24787,1052,43
13-Jun-20,25392,1074,44
14-Jun-20,25930,1088,45
