DATE,CASES,DEATHS,days
01-05-2020,246449,25100,1
02-05-2020,248028,25264,2
03-05-2020,249120,25428,3
04-05-2020,251081,25613,4
05-05-2020,254050,25857,5
06-05-2020,256855,26070,6
07-05-2020,260117,26299,7
08-05-2020,262783,26478,8
09-05-2020,264670,26621,9
10-05-2020,268143,26744,10
11-05-2020,269520,26920,11
12-05-2020,271095,27104,12
13-05-2020,272646,27321,13
14-05-2020,274367,27459,14
15-05-2020,276505,27563,15
16-05-2020,277719,27650,16
17-05-2020,278188,27709,17
18-05-2020,278803,27778,18
19-05-2020,279524,27888,19
20-05-2020,280117,27940,20
21-05-2020,281904,28628,21
22-05-2020,282370,28678,22
23-05-2020,282852,28752,23
24-05-2020,282480,26834,24
25-05-2020,283339,27117,25
26-05-2020,283849,27118,26
27-05-2020,284986,27119,27
28-05-2020,285644,27121,28
29-05-2020,285644,27121,29
30-05-2020,285644,27121,30
31-05-2020,285644,27121,31
01-06-2020,287012,27127,32
02-06-2020,287406,27128,33
03-06-2020,287740,27133,34
04-06-2020,288058,27134,35
05-06-2020,288390,27135,36
06-06-2020,288630,27136,37
07-06-2020,288797,27136,38
08-06-2020,289046,27136,39
09-06-2020,289360,27136,40
10-06-2020,289787,27136,41
11-06-2020,290289,27136,42
12-06-2020,290685,27136,43
